359550,Tom Clancy's Rainbow Six® Siege X,1213464
252490,Rust,1043118
218620,PAYDAY 2,436678
252950,Rocket League,429794
582010,Monster Hunter: World,301611
107410,Arma 3,219158
534380,Dying Light 2: Reloaded Edition,150426
1716740,Starfield,109645
232090,Killing Floor 2,84879
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,68732
1274570,DEVOUR,64667
35140,Batman: Arkham Asylum GOTY Edition,53915
424840,Little Nightmares,49335
1533390,Gorilla Tag,40175
2321470,Deep Rock Galactic: Survivor,36445
1088850,Marvel's Guardians of the Galaxy,32264
337000,Deus Ex: Mankind Divided™,29713
674020,World War 3,28947
257510,The Talos Principle,28411
434570,Blood and Bacon,26986
